date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog
27.06.15;70.0;88.0;0.99;0.0;0.0;Aug 28;210;18. Dez;210;29.97;Yes
30.06.15;66.9;91.9;0.02;0.0;0.0;Jun 71;240;23. Apr;240;27.96;Yes
06.07.15;70.0;89.1;0.0;0.0;0.0;08. Mai;230;17.0;230;23.94;No
24.07.15;68.0;86.0;0.0;0.0;0.0;Mai 14;50;16. Nov;40;19.91;Yes
28.07.15;73.0;90.0;0.0;0.0;0.0;04. MŠr;170;14. Sep;150;19.91;No
31.07.15;71.1;91.0;0.0;0.0;0.0;03. Aug;40;Dez 97;30;17.0;No
01.08.15;64.9;93.0;0.0;0.0;0.0;Jan 57;240;Dez 97;270;14. Sep;Yes
03.08.15;69.1;95.0;0.0;0.0;0.0;Jun 26;220;14.99;220;21. MŠr;No
05.08.15;73.0;97.0;0.0;0.0;0.0;MŠr 13;240;14.99;240;23. Apr;No
07.08.15;70.0;75.0;0.02;0.0;0.0;Mai 82;40;12. Aug;10;14.99;Yes
13.08.15;63.0;88.0;0.0;0.0;0.0;Feb 46;80;12. Aug;100;18. Dez;No
24.08.15;72.0;91.9;0.89;0.0;0.0;MŠr 58;250;17.0;180;29. Aug;Yes
29.08.15;60.1;86.0;0.0;0.0;0.0;02. Jan;110;12. Aug;140;16. Nov;No
01.09.15;66.9;91.0;0.0;0.0;0.0;01. Dez;40;08. Mai;40;12. Aug;Yes
02.09.15;68.0;93.9;0.1;0.0;0.0;MŠr 36;50;18. Dez;30;23.94;Yes
17.09.15;60.1;84.0;0.0;0.0;0.0;Jan 57;90;Aug 95;130;14.99;No
22.09.15;66.0;79.0;0.0;0.0;0.0;09. Apr;40;18. Dez;50;25. Mai;No
27.09.15;64.0;77.0;0.03;0.0;0.0;Okt 96;40;18. Dez;40;25.95;Yes
01.10.15;57.9;66.0;0.34;0.0;0.0;Okt 74;50;19.91;50;25.95;Yes
09.10.15;60.1;82.0;0.0;0.0;0.0;08. Mai;240;21. MŠr;230;25. Mai;No
12.10.15;51.1;78.1;0.0;0.0;0.0;Feb 91;230;Dez 97;220;17.0;No
13.10.15;60.1;79.0;0.0;0.0;0.0;09. Apr;230;17.0;220;23. Apr;No
14.10.15;52.0;77.0;0.0;0.0;0.0;Feb 46;240;14.99;230;19.91;No
16.10.15;46.9;68.0;0.01;0.0;0.0;Feb 24;350;08. Mai;360;12. Aug;Yes
26.10.15;52.0;64.0;0.0;0.0;0.0;Sep 84;50;18. Dez;40;23. Apr;No
29.10.15;57.0;73.9;0.05;0.0;0.0;Jun 71;250;Dez 97;300;17.0;Yes
31.10.15;39.9;66.0;0.0;0.0;0.0;MŠr 13;60;Aug 95;130;12. Aug;No
04.11.15;59.0;70.0;0.0;0.0;0.0;MŠr 13;60;Aug 95;60;Dez 97;Yes
13.11.15;44.1;66.0;0.0;0.0;0.0;Mai 82;300;16. Nov;270;23. Apr;No
